dataset_data_id,dataset_data_title,dataset_data_id_refer,dataset_data_subtitle1,dataset_data_subtitle2,dataset_data_subtitle3,dataset_data_subtitle4,main
555,"ต. เขาคราม อ. เมืองกระบี่ จ. กระบี่ 81000",152,"\N","\N","\N","\N","\N"
556,"ต. สัตหีบ อ. สัตหีบ จ. ชลบุรี 20180",152,"\N","\N","\N","\N","\N"
557,"ต. หาดทรายรี อ. เมืองชุมพร จ. ชุมพร 86120",152,"\N","\N","\N","\N","\N"
558,"ต. เกาะพระทอง อ. คุระบุรี จ. พังงา 82150",152,"\N","\N","\N","\N","\N"
559,"ต. บ่อหิน อ. สิเกา จ. ตรัง 92150",152,"\N","\N","\N","\N","\N"
560,"ต. เกาะพยาม อ. เมืองระนอง จ. ระนอง 85000",152,"\N","\N","\N","\N","\N"
561,"ต. เกาะพะงัน อ. เกาะพะงัน จ. สุราษฎร์ธานี 84280",152,"\N","\N","\N","\N","\N"
562,"ต. พรุใน อ. เกาะยาว จ. พังงา 83000",152,"\N","\N","\N","\N","\N"
563,"แขวง ตลาดยอด เขต พระนคร กรุงเทพมหานคร 10200",152,"\N","\N","\N","\N","\N"
564,"ต. กร่ำ อ. แกลง จ. ระยอง 21190",152,"\N","\N","\N","\N","\N"
565,"ต. เกาะค้างคาว อ. ปะเหลียน จ. ตรัง",152,"\N","\N","\N","\N","\N"
566,"ต. หาดทรายรี อ. เมืองชุมพร จ. ชุมพร 86120",152,"\N","\N","\N","\N","\N"
567,"ต. อ่าวนาง อ. เมืองกระบี่ จ. กระบี่ 81000",152,"\N","\N","\N","\N","\N"
568,"ต. เกาะพระทอง อ. คุระบุรี จ. พังงา 82150",152,"\N","\N","\N","\N","\N"
569,"ต. เกาะศรีบอยา อ. เหนือคลอง จ. กระบี่ 81130",152,"\N","\N","\N","\N","\N"
570,"ต. คลองขุด อ. ท่าใหม่ จ. จันทบุรี 22120",152,"\N","\N","\N","\N","\N"
571,"ต. ตะเสะ อ. หาดสำราญ จ. ตรัง 92120",152,"\N","\N","\N","\N","\N"
572,"ต. ชุมโค อ. ปะทิว จ. ชุมพร 86160",152,"\N","\N","\N","\N","\N"
573,"แขวง วัดราชบพิธ เขต พระนคร กรุงเทพมหานคร 10200",152,"\N","\N","\N","\N","\N"
574,"ต. สัตหีบ อ. สัตหีบ จ. ชลบุรี 20180",152,"\N","\N","\N","\N","\N"
575,"ต. เทพกระษัตรี อ. ถลาง จ. ภูเก็ต 83110",152,"\N","\N","\N","\N","\N"
576,"ต. เกาะศรีบอยา อ. เหนือคลอง จ. กระบี่ 81130",152,"\N","\N","\N","\N","\N"
577,"ต. ปากตะโก อ. ทุ่งตะโก จ. ชุมพร 86220",152,"\N","\N","\N","\N","\N"
578,"ต. เกาะศรีบอยา อ. เหนือคลอง จ. กระบี่ 81130",152,"\N","\N","\N","\N","\N"
579,"ต. เขาทอง อ. เมืองกระบี่ จ. กระบี่ 81000",152,"\N","\N","\N","\N","\N"
580,"ต. อ่าวนาง อ. เมืองกระบี่ จ. กระบี่ 81000",152,"\N","\N","\N","\N","\N"
581,"ต. เกาะศรีบอยา อ. เหนือคลอง จ. กระบี่ 81130",152,"\N","\N","\N","\N","\N"
