id,product_code,product_names,product_category,product_details,unit,product_status,created_date,last_updated,bom_id,product_id,product_daterun,product_type,product_dimensions,product_expiration_date,product_selling_price,product_cost_price,product_wholesale_price,created_at,edata_id,tempId,updated_at,revision,status,id_oldsys
66,PROD,"ดูแลรักษาระบบ (Qualia System Maintenance) ISO22000","(OS) One Stop Service-อาหาร","\N","\N",ACTIVE,"\N","\N","\N",66,202603,งานบริการ,"\N","\N","\N","\N","\N","2026-03-03 20:09:11.000000","\N","\N","\N",0,"\N","\N"
67,PROD,"ดูแลรักษาระบบ (Qualia System Maintenance) FSSC22000","(OS) One Stop Service-อาหาร","\N","\N",ACTIVE,"\N","\N","\N",67,202603,งานบริการ,"\N","\N","\N","\N","\N","2026-03-03 20:09:11.000000","\N","\N","\N",0,"\N","\N"
68,PROD,"ยื่นขอใบแทนใบอนุญาตสถานที่ผลิตอาหาร (อ.2)","(OS) One Stop Service-อาหาร","\N","\N",ACTIVE,"\N","\N","\N",68,202603,งานบริการ,"\N","\N","\N","\N","\N","2026-03-03 20:09:11.000000","\N","\N","\N",0,"\N","\N"
69,PROD,"ยื่นขอใบอนุญาตสถานที่ผลิตอาหาร (อ.2)","(OS) One Stop Service-อาหาร","\N","\N",ACTIVE,"\N","\N","\N",69,202603,งานบริการ,"\N","\N","\N","\N","\N","2026-03-03 20:09:11.000000","\N","\N","\N",0,"\N","\N"
70,PROD,"ยื่นขอใบแทนใบอนุญาตสถานที่ผลิตอาหาร กรณีไม่เข้าข่ายโรงงาน (สบ.1) คัดสำเนำ","(OS) One Stop Service-อาหาร","\N","\N",ACTIVE,"\N","\N","\N",70,202603,งานบริการ,"\N","\N","\N","\N","\N","2026-03-03 20:09:11.000000","\N","\N","\N",0,"\N","\N"
71,PROD,"ยื่นขอใบอนุญาตสถานที่ผลิตอาหาร กรณีไม่เข้าข่ายโรงงาน (สบ.1)","(OS) One Stop Service-อาหาร","\N","\N",ACTIVE,"\N","\N","\N",71,202603,งานบริการ,"\N","\N","\N","\N","\N","2026-03-03 20:09:11.000000","\N","\N","\N",0,"\N","\N"
72,PROD,"ยื่นขอใบอนุญาตนำเข้าซึ่งอาหารเพื่อเป็นตัวอย่างสำหรับการขึ้นทะเบียนตำรับอาหาร หรือเพื่อพิจารณาในการสั่งซื้อ (อ.16)","(OS) One Stop Service-อาหาร","\N","\N",ACTIVE,"\N","\N","\N",72,202603,งานบริการ,"\N","\N","\N","\N","\N","2026-03-03 20:09:11.000000","\N","\N","\N",0,"\N","\N"
73,PROD,"ยื่นขอใบอนุญาตนำหรือสั่งอาหารเข้ามาในราชอาณาจักร (อ.7)","(OS) One Stop Service-อาหาร","\N","\N",ACTIVE,"\N","\N","\N",73,202603,งานบริการ,"\N","\N","\N","\N","\N","2026-03-03 20:09:11.000000","\N","\N","\N",0,"\N","\N"
74,PROD,"ยื่นขอต่ออายุใบอนุญาตนำหรือสั่งอาหารเข้ามาในราชอาณาจักร ( อ.8)","(OS) One Stop Service-อาหาร","\N","\N",ACTIVE,"\N","\N","\N",74,202603,งานบริการ,"\N","\N","\N","\N","\N","2026-03-03 20:09:11.000000","\N","\N","\N",0,"\N","\N"
75,PROD,"ยื่นขอใบแทนใบอนุญาตนำหรือสั่งอาหารเข้ามาในราชอาณาจักร (อ.9)","(OS) One Stop Service-อาหาร","\N","\N",ACTIVE,"\N","\N","\N",75,202603,งานบริการ,"\N","\N","\N","\N","\N","2026-03-03 20:09:11.000000","\N","\N","\N",0,"\N","\N"
76,PROD,"ยื่นขอใบอนุญาตเพิ่มสูตร/เปลี่ยนแปลงแก้ไขสูตรการผลิตอาหาร ฉลากอาหาร","(OS) One Stop Service-อาหาร","\N","\N",ACTIVE,"\N","\N","\N",76,202603,งานบริการ,"\N","\N","\N","\N","\N","2026-03-03 20:09:11.000000","\N","\N","\N",0,"\N","\N"
77,PROD,"ยื่นขอใบสำคัญการขึ้นทะเบียนตำรับอาหาร (อ.18)","(OS) One Stop Service-อาหาร","\N","\N",ACTIVE,"\N","\N","\N",77,202603,งานบริการ,"\N","\N","\N","\N","\N","2026-03-03 20:09:11.000000","\N","\N","\N",0,"\N","\N"
78,PROD,"ยื่นต่ออายุใบอนุญาตสถานที่ผลิตอาหาร (อ.2) กรณีไม่ต้องตรวจสถานที่ผลิตใหม่","(OS) One Stop Service-อาหาร","\N","\N",ACTIVE,"\N","\N","\N",78,202603,งานบริการ,"\N","\N","\N","\N","\N","2026-03-03 20:09:11.000000","\N","\N","\N",0,"\N","\N"
79,PROD,"ยื่นต่ออายุใบอนุญาตสถานที่ผลิตอาหาร (อ.2) กรณีมีความจำเป็นต้องตรวจสถานที่ผลิตใหม่","(OS) One Stop Service-อาหาร","\N","\N",ACTIVE,"\N","\N","\N",79,202603,งานบริการ,"\N","\N","\N","\N","\N","2026-03-03 20:09:11.000000","\N","\N","\N",0,"\N","\N"
80,PROD,"ยื่นขออนุญาตเปลี่ยนแปลงแก้ไขรายการในใบอนุญาตสถานที่ผลิตอาหาร (อ.2)(กรณีไม่ต้องตรวจสถานที่ผลิตใหม่)","(OS) One Stop Service-อาหาร","\N","\N",ACTIVE,"\N","\N","\N",80,202603,งานบริการ,"\N","\N","\N","\N","\N","2026-03-03 20:09:11.000000","\N","\N","\N",0,"\N","\N"
81,PROD,"ยื่นขออนุญาตเปลี่ยนแปลงแก้ไขรายการในใบอนุญาตสถานที่ผลิตอาหาร (อ.2)(กรณีมีความจำเป็นต้องตรวจสถานที่ผลิตใหม่)","(OS) One Stop Service-อาหาร","\N","\N",ACTIVE,"\N","\N","\N",81,202603,งานบริการ,"\N","\N","\N","\N","\N","2026-03-03 20:09:11.000000","\N","\N","\N",0,"\N","\N"
