id,fo_id,qt_id,qt_description,qt_unit,qt_type,qt_price,qt_discount,discount_sum,sum,total,id_promotion,date_qt,flow,save,revision,id_refer,space,price_criteria
10538,0,2011000952,"ข้อกำหนดและการประยุกต์ใช้มาตรฐานสุขลักษณะที่ดีในการผลิตอาหาร (GHPs)/การวิเคราะห์อันตรายและการควบคุมจุดวิกฤติ (HACCP)",1,MD,12000.00,0.00,0.00,12000.00,12000.00,0,0000-00-00,1,0,0,8910,498,0
10539,0,2011000953,"ข้อกำหนดและการประยุกต์ใช้มาตรฐานสุขลักษณะที่ดีในการผลิตอาหาร (GHPs)/การวิเคราะห์อันตรายและการควบคุมจุดวิกฤติ (HACCP)",1,MD,10000.00,0.00,0.00,10000.00,10000.00,0,0000-00-00,1,0,0,8911,498,0
10544,0,2010000862,"ข้อกำหนดและการประยุกต์ใช้มาตรฐานสุขลักษณะที่ดีในการผลิตอาหาร (GHPs)/การวิเคราะห์อันตรายและการควบคุมจุดวิกฤติ (HACCP) **มี Work shop**",1,MD,11000.00,0.00,0.00,11000.00,11000.00,0,0000-00-00,1,0,1,8914,498,0
10546,0,2011000954,"มาตรฐานสุขลักษณะที่ดีในการผลิตอาหาร(GHPs)/การวิเคราะห์อันตรายและการควบคุมจุดวิกฤติ (HACCP)",1,รายการ,96000.00,0.00,0.00,96000.00,96000.00,0,0000-00-00,1,0,0,8916,497,0
10547,0,2011000955,"หลักเกณฑ์และวิธีการที่ดีในการผลิตอาหารตามมาตรฐานอย. (GMP THAI FDA)",1,รายการ,96000.00,0.00,0.00,96000.00,96000.00,0,0000-00-00,1,0,0,8917,5,0
10548,0,2011000956,"ข้อกำหนดและการประยุกต์ใช้มาตรฐานสุขลักษณะที่ดีในการผลิตอาหาร (GHPs)/การวิเคราะห์อันตรายและการควบคุมจุดวิกฤติ (HACCP)",1,MD,13000.00,0.00,0.00,13000.00,13000.00,0,0000-00-00,1,0,0,8918,498,0
10558,0,1912000177,"ข้อกำหนดและการประยุกต์ใช้มาตรฐานสุขลักษณะที่ดีในการผลิตอาหาร (GHPs)/การวิเคราะห์อันตรายและการควบคุมจุดวิกฤติ (HACCP)",1,MD,10000.00,0.00,0.00,10000.00,10000.00,0,0000-00-00,1,0,1,8923,0,0
10559,0,1912000177,"ข้อกำหนดและการประยุกต์ใช้ : ความปลอดภัยอาหาร (Food Safety System Certification) FSSC22000 5.1 New!!",2,MD,11000.00,0.00,0.00,22000.00,22000.00,0,0000-00-00,1,0,1,8923,0,0
10561,0,2011000957,"ข้อกำหนดและการประยุกต์ใช้มาตรฐานสุขลักษณะที่ดีในการผลิตอาหาร (GHPs)/การวิเคราะห์อันตรายและการควบคุมจุดวิกฤติ (HACCP) : สถานที่อบรม จ.พระนครศรีอยุธยา",1,MD,13000.00,0.00,0.00,13000.00,13000.00,0,0000-00-00,1,0,0,8925,498,0
10563,0,2011000958,"ข้อกำหนดและการประยุกต์ใช้มาตรฐานสุขลักษณะที่ดีในการผลิตอาหาร (GHPs)/การวิเคราะห์อันตรายและการควบคุมจุดวิกฤติ (HACCP)",1,Md,13000.00,0.00,0.00,13000.00,13000.00,0,0000-00-00,1,0,0,8927,498,0
10566,0,2009000686,"ข้อกำหนดและการประยุกต์ใช้มาตรฐานสุขลักษณะที่ดีในการผลิตอาหาร (GHPs)/การวิเคราะห์อันตรายและการควบคุมจุดวิกฤติ (HACCP)",1,MD,10000.00,0.00,0.00,10000.00,10000.00,0,0000-00-00,1,0,2,8930,0,0
10569,0,2011000959,"ข้อกำหนดและการประยุกต์ใช้มาตรฐานสุขลักษณะที่ดีในการผลิตอาหาร (GHPs)/การวิเคราะห์อันตรายและการควบคุมจุดวิกฤติ (HACCP)",1,MD,14000.00,0.00,0.00,14000.00,14000.00,0,0000-00-00,1,0,0,8932,498,0
10570,0,2011000959,"การตรวจติดตามภายในระบบความปลอดภัยอาหาร (IQA Training For GHPs/HACCP)",1,MD,14000.00,0.00,0.00,14000.00,14000.00,0,0000-00-00,1,0,0,8932,329,0
10572,0,2011000960,"เตรียมความพร้อมเพื่อรองรับการตรวจประเมินระบบ GHPs",1,MD,10000.00,0.00,0.00,10000.00,10000.00,0,0000-00-00,1,0,0,8934,102,0
10573,0,2011000961,"ข้อกำหนดและการประยุกต์ใช้มาตรฐานสุขลักษณะที่ดีในการผลิตอาหาร (GHPs)/การวิเคราะห์อันตรายและการควบคุมจุดวิกฤติ (HACCP)",1,MD,11000.00,0.00,0.00,11000.00,11000.00,0,0000-00-00,1,0,0,8935,498,0
10578,0,2011000962,"แก้ไขข้อบกพร่อง (CAR) มกษ.9023 และ มกษ.9024",3,MD,14000.00,0.00,0.00,42000.00,42000.00,0,0000-00-00,1,0,0,8938,0,0
10580,0,2011000963,"ข้อกำหนดและการประยุกต์ใช้มาตรฐานสุขลักษณะที่ดีในการผลิตอาหาร (GHPs)/การวิเคราะห์อันตรายและการควบคุมจุดวิกฤติ (HACCP)",1,MD,11000.00,0.00,0.00,11000.00,11000.00,0,0000-00-00,1,0,0,8939,498,0
10587,0,2011000964,"มาตรฐานสุขลักษณะที่ดีในการผลิตอาหาร(GHPs)/การวิเคราะห์อันตรายและการควบคุมจุดวิกฤติ (HACCP)",3,MD,11000.00,0.00,0.00,33000.00,33000.00,0,0000-00-00,1,0,0,8947,497,0
10592,0,2011000965,"ยื่นขอจดทะเบียน/จดแจ้งรายละเอียดอาหาร(สบ.7)(อาหารสำเร็จรูปพร้อมบริโภคทันที) (ผลไม้แช่แข็งตามฤดูกาล ทุเรียน, มังคุด, ลำไย, มะม่วง, มะพร้าว, ส้มโอ )",6,รายการ,6000.00,0.00,0.00,36000.00,36000.00,0,0000-00-00,1,0,0,8952,0,0
10594,0,2012000967,"ข้อกำหนดและการประยุกต์ใช้มาตรฐานสุขลักษณะที่ดีในการผลิตอาหาร (GHPs)/การวิเคราะห์อันตรายและการควบคุมจุดวิกฤติ (HACCP)",1,MD,11000.00,0.00,0.00,11000.00,11000.00,0,0000-00-00,1,0,0,8954,498,0
10595,0,2011000965,"ยื่นขอจดทะเบียน/จดแจ้งรายละเอียดอาหาร(สบ.7)(อาหารสำเร็จรูปพร้อมบริโภคทันที) (ผลไม้แช่แข็งตามฤดูกาล ทุเรียน, มังคุด, ลำไย, มะม่วง, มะพร้าว, ส้มโอ )",6,,6000.00,0.00,0.00,36000.00,36000.00,0,0000-00-00,0,0,1,8955,0,0
